icd10code,auc_ResNet_T(ALL2ALL)-E(ALL2ALL),auc_S4_T(ALL2ALL)-E(ALL2ALL),auc_S4_T(ALL2ALL)-E(ALL2HOSP),auc_S4_T(ALL2ALL)-E(ED2HOSP),auc_S4_T(ALL2ALL)-E(ED2ED),auc_S4_T(ALL2ALL)-E(ED2ALL),auc_S4_T(ED2ALL)-E(ED2ALL),auc_S4_T(ED2ALL)-E(ALL2ALL),auc_S4_T(ED2ED)-E(ALL2ALL),description,block,len,auc_ResNet_T(ALL2ALL)-E(ALL2ALL)_low,auc_ResNet_T(ALL2ALL)-E(ALL2ALL)_high,auc_S4_T(ALL2ALL)-E(ALL2ALL)_low,auc_S4_T(ALL2ALL)-E(ALL2ALL)_high,ecgs_S4_T(ALL2ALL)-E(ALL2ALL),total_ecgs_S4_T(ALL2ALL)-E(ALL2ALL),patients_S4_T(ALL2ALL)-E(ALL2ALL),total_patients_S4_T(ALL2ALL)-E(ALL2ALL),auc_S4_T(ALL2ALL)-E(ALL2HOSP)_low,auc_S4_T(ALL2ALL)-E(ALL2HOSP)_high,ecgs_S4_T(ALL2ALL)-E(ALL2HOSP),total_ecgs_S4_T(ALL2ALL)-E(ALL2HOSP),patients_S4_T(ALL2ALL)-E(ALL2HOSP),total_patients_S4_T(ALL2ALL)-E(ALL2HOSP),auc_S4_T(ALL2ALL)-E(ED2HOSP)_low,auc_S4_T(ALL2ALL)-E(ED2HOSP)_high,ecgs_S4_T(ALL2ALL)-E(ED2HOSP),total_ecgs_S4_T(ALL2ALL)-E(ED2HOSP),patients_S4_T(ALL2ALL)-E(ED2HOSP),total_patients_S4_T(ALL2ALL)-E(ED2HOSP),auc_S4_T(ALL2ALL)-E(ED2ED)_low,auc_S4_T(ALL2ALL)-E(ED2ED)_high,ecgs_S4_T(ALL2ALL)-E(ED2ED),total_ecgs_S4_T(ALL2ALL)-E(ED2ED),patients_S4_T(ALL2ALL)-E(ED2ED),total_patients_S4_T(ALL2ALL)-E(ED2ED),auc_S4_T(ALL2ALL)-E(ED2ALL)_low,auc_S4_T(ALL2ALL)-E(ED2ALL)_high,ecgs_S4_T(ALL2ALL)-E(ED2ALL),total_ecgs_S4_T(ALL2ALL)-E(ED2ALL),patients_S4_T(ALL2ALL)-E(ED2ALL),total_patients_S4_T(ALL2ALL)-E(ED2ALL),auc_S4_T(ED2ALL)-E(ED2ALL)_low,auc_S4_T(ED2ALL)-E(ED2ALL)_high,ecgs_S4_T(ED2ALL)-E(ED2ALL),total_ecgs_S4_T(ED2ALL)-E(ED2ALL),patients_S4_T(ED2ALL)-E(ED2ALL),total_patients_S4_T(ED2ALL)-E(ED2ALL),auc_S4_T(ED2ALL)-E(ALL2ALL)_low,auc_S4_T(ED2ALL)-E(ALL2ALL)_high,ecgs_S4_T(ED2ALL)-E(ALL2ALL),total_ecgs_S4_T(ED2ALL)-E(ALL2ALL),patients_S4_T(ED2ALL)-E(ALL2ALL),total_patients_S4_T(ED2ALL)-E(ALL2ALL),auc_S4_T(ED2ED)-E(ALL2ALL)_low,auc_S4_T(ED2ED)-E(ALL2ALL)_high,ecgs_S4_T(ED2ED)-E(ALL2ALL),total_ecgs_S4_T(ED2ED)-E(ALL2ALL),patients_S4_T(ED2ED)-E(ALL2ALL),total_patients_S4_T(ED2ED)-E(ALL2ALL),auc_ResNet_T(ED2ALL)-E(ED2ALL),auc_ResNet_T(ED2ALL)-E(ED2ALL)_low,auc_ResNet_T(ED2ALL)-E(ED2ALL)_high,total_patients_ResNet_T(ED2ALL)-E(ED2ALL),total_ecgs_ResNet_T(ED2ALL)-E(ED2ALL),patients_ResNet_T(ED2ALL)-E(ED2ALL),ecgs_ResNet_T(ED2ALL)-E(ED2ALL),chapter
I442,0.9046692021389472,0.9220154145075771,0.9132367881553122,0.9526777153814546,0.9105652627461207,0.962040177406731,0.956570757705639,0.9118527058164857,,"Atrioventricular block, complete",I00-I99,4,0.8626240029931069,0.94038587808609,0.887720274925232,0.9491080477833748,94.0,14231,63.0,6171,0.8798180565237999,0.9436696588993072,94.0,11780,63.0,5026,0.927719570696354,0.9752980023622512,28.0,5243,24.0,2907,0.7222787991166115,0.994236308336258,8.0,7677,8.0,4197,0.9429777696728706,0.9798326641321182,28.0,7694,24.0,4202,0.9276038631796836,0.9783859342336656,28.0,7694,24.0,4202,0.8808152645826339,0.9383881598711014,94.0,14231,63.0,6171,,,,14231,,6171,0.9510594088926988,0.9210876554250718,0.9746857807040216,4202,7694,24.0,28.0,IX
Z4502,0.954152493155231,0.9600002765563207,0.9542845870550454,0.9489229589881181,,0.9597965836484549,0.941337853696701,0.952569208219254,,Encounter for adjustment and management of automatic implantable cardiac defibrillator,Z00-Z99,5,0.9362522408366204,0.9704810887575148,0.946975477039814,0.9721408680081368,51.0,14231,23.0,6171,0.9385382384061812,0.9689398631453514,51.0,11780,23.0,5026,0.9273219600319862,0.9680650442838667,25.0,5243,13.0,2907,,,0.0,7677,0.0,4197,0.943480822443962,0.9743360415101052,25.0,7694,13.0,4202,0.8861271575093269,0.9795342281460762,25.0,7694,13.0,4202,0.9199510231614112,0.975234805047512,51.0,14231,23.0,6171,,,,14231,,6171,0.9476646238101448,0.908336478471756,0.977202120423317,4202,7694,13.0,25.0,XXI
K767,0.9546503127284542,0.9534887498984648,0.9459529325532388,0.944269340974212,,0.9566744730679158,0.947144158209732,0.9348441772940189,,Hepatorenal syndrome,K00-K93,4,0.9253300055861472,0.9780353516340256,0.9263660445809364,0.9790393188595772,26.0,14231,19.0,6171,0.9148973777890206,0.9722961068153382,26.0,11780,19.0,5026,0.8683025285601617,0.9906754612922668,8.0,5243,8.0,2907,,,0.0,7677,0.0,4197,0.8977926105260849,0.9937784805893898,8.0,7694,8.0,4202,0.8840706437826157,0.9922617942094802,8.0,7694,8.0,4202,0.9042797446250916,0.9628908410668372,26.0,14231,19.0,6171,,,,14231,,6171,0.9324746291959406,0.8519114822149277,0.994637505710125,4202,7694,8.0,8.0,XI
K729,0.9072862888296713,0.8886431205795471,0.8739450974964896,0.9399824445907394,0.9158385314137989,0.9526122395687613,0.9334862813123682,0.8529879123306304,,"Hepatic failure, unspecified",K00-K93,4,0.8745251223444939,0.933946943283081,0.8610337018966675,0.9169081151485444,89.0,14231,56.0,6171,0.8389654949307441,0.9087063267827034,89.0,11780,56.0,5026,0.9081443309783936,0.9663123458623886,35.0,5243,28.0,2907,0.8156630754470825,0.9865134850144386,11.0,7677,11.0,4197,0.9281399086117744,0.9738260179758071,35.0,7694,28.0,4202,0.8851157382130623,0.9730148509144784,35.0,7694,28.0,4202,0.8104112476110459,0.8930032029747963,89.0,14231,56.0,6171,,,,14231,,6171,0.9482700091395744,0.9034097969532012,0.9785433650016784,4202,7694,28.0,35.0,XI
V850,0.917060889842781,0.9296772692278177,0.9223029851349349,0.9453106779943361,,0.9522028192004897,0.9484846939064687,0.9074311997009598,,Driver of special construction vehicle injured in traffic accident,V01-Y98,4,0.8878721103072167,0.9422795817255972,0.9033166006207466,0.9517758414149284,57.0,14231,35.0,6171,0.8940451979637146,0.94613728672266,57.0,11780,35.0,5026,0.9187661349773408,0.97188800573349,23.0,5243,18.0,2907,,,0.0,7677,0.0,4197,0.9248026922345162,0.9760532945394516,23.0,7694,18.0,4202,0.9228924199938774,0.9706029102206232,23.0,7694,18.0,4202,0.8762712359428406,0.9342971831560136,57.0,14231,35.0,6171,,,,14231,,6171,0.9238577817075035,0.8751593187451363,0.963207021355629,4202,7694,18.0,23.0,XX
I078,0.9057562447209988,0.9092836021642627,0.8945282201383453,0.9368396387184731,0.9000781657113079,0.951026283881377,0.9477172490084972,0.8986789185688091,,Other rheumatic tricuspid valve diseases,I00-I99,4,0.8794398471713066,0.9296781331300736,0.886473423242569,0.9298282518982888,97.0,14231,62.0,6171,0.8709250137209892,0.9180694669485092,97.0,11780,62.0,5026,0.901640996336937,0.9666425988078118,27.0,5243,22.0,2907,0.8939407587051391,0.90673406124115,1.0,7677,1.0,4197,0.9226399928331376,0.9740963965654372,27.0,7694,22.0,4202,0.9168597042560578,0.9725015476346016,27.0,7694,22.0,4202,0.87567498087883,0.9195187464356422,97.0,14231,62.0,6171,,,,14231,,6171,0.952721862334488,0.92369147837162,0.9776157706975936,4202,7694,22.0,27.0,IX
I2581,0.9325972785867749,0.936586894246837,0.927145243997936,0.9367763325682223,,0.9497677648999435,0.9519468680817814,0.9229470040582478,,Atherosclerosis of other coronary vessels without angina pectoris,I00-I99,5,0.9096275255084038,0.9515624433755876,0.9125923603773116,0.9559365913271904,71.0,14231,45.0,6171,0.9031459391117096,0.9502956479787826,71.0,11780,45.0,5026,0.8808937191963196,0.9760982811450958,15.0,5243,14.0,2907,,,0.0,7677,0.0,4197,0.9057508647441864,0.979069708287716,15.0,7694,14.0,4202,0.9207050308585168,0.9771766841411592,15.0,7694,14.0,4202,0.8978379040956497,0.9450634092092514,71.0,14231,45.0,6171,,,,14231,,6171,0.9339236879802058,0.8982131332159042,0.9665690645575524,4202,7694,14.0,15.0,IX
I5020,0.8911250108403435,0.8931485416124649,0.8780495262055605,0.9351143822086281,,0.9496658856200643,0.9359324828603663,0.8712076865261758,,Unspecified systolic (congestive) heart failure,I00-I99,5,0.8540278971195221,0.9233352065086364,0.8573864385485649,0.9248182594776152,39.0,14231,32.0,6171,0.8392181321978569,0.9105646967887878,39.0,11780,32.0,5026,0.8935382068157196,0.9711833402514458,12.0,5243,11.0,2907,,,0.0,7677,0.0,4197,0.915522798895836,0.978567925095558,12.0,7694,11.0,4202,0.8890405222773552,0.9769992455840112,12.0,7694,11.0,4202,0.8207546666264534,0.9144549325108527,39.0,14231,32.0,6171,,,,14231,,6171,0.9184674130000868,0.8688816711306572,0.9632479026913644,4202,7694,11.0,12.0,IX
Z9981,0.8701539566049775,0.9121746038077004,0.9044611440096121,0.9340506863256137,,0.9466793929110104,0.9462366677440206,0.8811805333971495,,Dependence on supplemental oxygen,Z00-Z99,5,0.8391637533903122,0.8987204611301423,0.8870384782552719,0.93265291005373,128.0,14231,50.0,6171,0.8763885080814362,0.9269293501973151,128.0,11780,50.0,5026,0.9140287920832634,0.9516979426145552,78.0,5243,41.0,2907,,,0.0,7677,0.0,4197,0.9301880106329918,0.9619895845651628,78.0,7694,41.0,4202,0.9307403445243836,0.9605878427624702,78.0,7694,41.0,4202,0.8500652492046357,0.9080160066485404,128.0,14231,50.0,6171,,,,14231,,6171,0.9287246148459384,0.9095627576112748,0.9456710025668144,4202,7694,41.0,78.0,XXI
Z998,0.8701201650358079,0.9121075746295115,0.9043692874613801,0.933921612430809,,0.9466070081878906,0.946442038353803,0.8816624787279302,,Dependence on other enabling machines and devices,Z00-Z99,4,0.8391339913010597,0.8987244918942452,0.8869178935885429,0.9326270282268524,128.0,14231,50.0,6171,0.8761246412992477,0.9269612208008766,128.0,11780,50.0,5026,0.9136915072798728,0.9516752779483796,78.0,5243,41.0,2907,,,0.0,7677,0.0,4197,0.9299389585852624,0.9619304612278938,78.0,7694,41.0,4202,0.9309680104255676,0.96073287576437,78.0,7694,41.0,4202,0.8509946912527084,0.9084692284464836,128.0,14231,50.0,6171,,,,14231,,6171,0.9288862179487178,0.909642654657364,0.9458453938364982,4202,7694,41.0,78.0,XXI
K7290,0.9075863618432568,0.8873645105922738,0.8739284653918801,0.9320659256420084,0.9462469733656175,0.9458703872734385,0.9468718216195071,0.8606062506041344,,"Hepatic failure, unspecified without coma",K00-K93,5,0.8637094408273697,0.9406197443604468,0.8499607414007186,0.9224409520626068,54.0,14231,34.0,6171,0.8265809565782547,0.914831992983818,54.0,11780,34.0,5026,0.8920027330517769,0.965426079928875,25.0,5243,19.0,2907,0.8696269854903221,0.9848772913217544,7.0,7677,7.0,4197,0.912033560872078,0.973146615922451,25.0,7694,19.0,4202,0.9065713435411452,0.9757613986730576,25.0,7694,19.0,4202,0.802933183312416,0.9119600594043732,54.0,14231,34.0,6171,,,,14231,,6171,0.9681783804928936,0.9445910662412644,0.9865936234593392,4202,7694,19.0,25.0,XI
Z950,0.9235388440011011,0.9276702105175969,0.9210069691660795,0.9348550463962219,0.9439023950367912,0.9431288158296008,0.9397442758818639,0.9235331796339816,,Presence of cardiac pacemaker,Z00-Z99,4,0.9085360541939737,0.9363264173269272,0.9140270173549652,0.939556869864464,389.0,14231,160.0,6171,0.9069632023572922,0.934103174507618,382.0,11780,157.0,5026,0.9124850183725356,0.9527458235621452,171.0,5243,76.0,2907,0.9080338403582572,0.9736483961343764,29.0,7677,22.0,4197,0.9263860732316972,0.9587249398231508,178.0,7694,80.0,4202,0.9224138870835304,0.9548270106315612,178.0,7694,80.0,4202,0.9104313641786576,0.9353757217526436,389.0,14231,160.0,6171,,,,14231,,6171,0.9384511543912312,0.9229164838790892,0.9536599040031432,4202,7694,80.0,178.0,XXI
C7952,0.8389961420298738,0.852161170434277,0.8310964258495203,0.9271612037569484,0.9661016949152543,0.9424904231217001,0.9331526648599819,0.8358696933267331,,Secondary malignant neoplasm of bone marrow,,5,0.8011621624231339,0.8740930438041687,0.8156336128711701,0.8813638910651207,90.0,14231,59.0,6171,0.7949690088629723,0.8673321217298507,89.0,11780,59.0,5026,0.8936420619487763,0.9546206623315812,26.0,5243,21.0,2907,0.9277315735816956,0.990747368335724,7.0,7677,6.0,4197,0.9172278359532356,0.964677768945694,27.0,7694,21.0,4202,0.9029774785041808,0.960627207159996,27.0,7694,21.0,4202,0.796936783194542,0.8708021000027657,90.0,14231,59.0,6171,,,,14231,,6171,0.9335101372404098,0.9034252867102625,0.959367786347866,4202,7694,21.0,27.0,II
I2789,0.8830740124391204,0.8967306350301351,0.8800952133713728,0.925343732768894,0.9800330248120628,0.94105695943834,0.9427850977374912,0.8901221934148441,,Other specified pulmonary heart diseases,I00-I99,5,0.8688910156488419,0.8959949657320976,0.8834863767027855,0.9087918803095818,398.0,14231,191.0,6171,0.8660530135035515,0.8938264966011047,398.0,11780,191.0,5026,0.9060479268431664,0.9428058952093124,132.0,5243,81.0,2907,0.9531668215990068,0.9990035548806192,6.0,7677,4.0,4197,0.9267965018749236,0.954381400346756,132.0,7694,81.0,4202,0.9277145832777024,0.9567746341228484,132.0,7694,81.0,4202,0.8775644287467003,0.9019140720367432,398.0,14231,191.0,6171,,,,14231,,6171,0.937639753792888,0.9216989442706108,0.9523596301674844,4202,7694,81.0,132.0,IX
K701,0.9141989568936818,0.9213856971359973,0.9141683961195902,0.9305938463328098,0.9389417437768801,0.9409038550145907,0.929619106128091,0.8955854610751863,,Alcoholic hepatitis,K00-K93,4,0.875775633752346,0.9454145073890686,0.8878632411360741,0.950776606798172,70.0,14231,49.0,6171,0.8788355410099029,0.9445106670260428,69.0,11780,48.0,5026,0.8855305537581444,0.96447232067585,33.0,5243,29.0,2907,0.8831780984997749,0.9955142304301262,4.0,7677,4.0,4197,0.9021892428398132,0.9700836732983588,34.0,7694,30.0,4202,0.8900077044963837,0.9592911526560784,34.0,7694,30.0,4202,0.8601044237613678,0.9256556451320648,70.0,14231,49.0,6171,,,,14231,,6171,0.935178927968054,0.9009340554475784,0.9642515003681182,4202,7694,30.0,34.0,XI
I5043,0.9159998108210367,0.9183109471560096,0.9053346691474643,0.9216237014236245,,0.9400008715736262,0.9400328292732528,0.9157286543069744,,Acute on chronic combined systolic (congestive) and diastolic (congestive) heart failure,I00-I99,5,0.8996480643749237,0.9308619543910026,0.9013658821582794,0.9321401253342628,135.0,14231,74.0,6171,0.8876327887177468,0.9198518693447112,135.0,11780,74.0,5026,0.8985905200242996,0.9434119880199432,45.0,5243,38.0,2907,,,0.0,7677,0.0,4197,0.92352392077446,0.95600373595953,45.0,7694,38.0,4202,0.9228379771113396,0.9556406781077385,45.0,7694,38.0,4202,0.9009584233164788,0.930932505428791,135.0,14231,74.0,6171,,,,14231,,6171,0.9400444502549352,0.9211724027991296,0.9571186140179634,4202,7694,38.0,45.0,IX
